currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,30.94,2005706,2022-12-15T22:59:59.000Z,2022-12-14T17:06:36.000Z,18.96,49.9,62.0,2022-12-13T13:34:07.000Z,4.649,kg,{},FLÆSKESTEG UDEN BEN,250032,
DKK,28.15,2006192,2022-12-16T22:59:59.000Z,2022-12-15T09:05:42.000Z,31.75,59.9,47.0,2022-12-15T07:22:34.000Z,4.649,kg,{},RIBBENSSTEG,250118,
DKK,29.0,2006185,2022-12-23T22:59:59.000Z,2022-12-15T12:20:34.000Z,70.0,99.0,29.29,2022-12-15T07:20:26.000Z,10.425,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Svinemørbrad', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Tenderloin'}",SVINEMØRBRAD,250930,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/56aa2e43-c564-4e9f-9f1e-cb129abedb19"
DKK,19.0,2006024,2022-12-15T22:59:59.000Z,2022-12-15T11:35:37.000Z,50.0,69.0,27.54,2022-12-14T17:18:10.000Z,4.649,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GB URTEKYLLING,250932,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/42518565-2fa3-4d3a-9f37-cfc2431dd738"
DKK,19.0,2006031,2022-12-15T22:59:59.000Z,2022-12-15T08:50:32.000Z,50.0,69.0,27.54,2022-12-14T17:18:21.000Z,6.405,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GB HVIDLØGSKYLLING,250935,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/077c2412-411b-4578-b7d2-16dedce1a253"
DKK,19.0,2005836,2022-12-15T22:59:59.000Z,2022-12-14T19:36:38.000Z,70.0,89.0,21.35,2022-12-14T07:59:03.000Z,4.649,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",MØRBRAD M KAR. GODT BEGYNDT,251072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a3bbe846-caa0-41ac-87e8-ed94f0e6e670"
DKK,19.0,2006048,2022-12-15T22:59:59.000Z,2022-12-14T17:19:16.000Z,50.0,69.0,27.54,2022-12-14T17:18:52.000Z,5.505,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",PAPRIKA FILET GODT BEGYNDT,251073,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a68d716e-22e0-495c-b962-c1e880ae1699"
DKK,30.94,2005713,2022-12-16T22:59:59.000Z,2022-12-15T12:05:45.000Z,18.96,49.9,62.0,2022-12-13T13:38:16.000Z,9.237,kg,{},SVINEKAM SLAGTEREN,251887,
DKK,24.0,2006055,2022-12-15T22:59:59.000Z,2022-12-15T12:20:34.000Z,45.0,69.0,34.78,2022-12-14T17:19:01.000Z,4.649,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",KYLLING I KARRY,254564,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b60d61b7-9d17-4c2d-bcac-54771f5a2f66"
DKK,20.0,2005799,2022-12-15T22:59:59.000Z,2022-12-15T12:35:44.000Z,55.0,75.0,26.67,2022-12-14T07:58:27.000Z,4.649,kg,{},NAKKEKOTELET GODT BEGYNDT,254701,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0926afe1-92c9-4388-996f-18e6890c4095"
