currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,51.93,2009049,2022-12-07T22:59:59.000Z,2022-12-06T08:44:58.000Z,27.97,79.9,65.0,2022-12-06T08:44:26.000Z,11.995,kg,{},RIBBENSSTEG,250358,
DKK,41.93,2009056,2022-12-07T22:59:59.000Z,2022-12-06T08:45:52.000Z,17.97,59.9,70.0,2022-12-06T08:45:34.000Z,8.141,kg,{},SVINEKAM,250725,
DKK,8.95,5712580638317,2022-12-06T22:59:59.000Z,2022-12-05T11:38:20.000Z,12.0,20.95,42.72,2022-12-02T12:57:45.000Z,6.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",ROASTBEEF BUDGET,29218134,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6a54183be4dc6ba9db27e5d54478f7ab"
DKK,11.95,5712580641928,2022-12-06T22:59:59.000Z,2022-12-05T09:01:33.000Z,12.0,23.95,49.9,2022-12-05T09:01:08.000Z,3.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",FULDKORNSBOL. LEVEBRØD,5701205005320,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7c939fa1-a390-428e-94d5-1f51f9a55e2c"
DKK,15.75,5712580641966,2022-12-06T22:59:59.000Z,2022-12-05T09:03:12.000Z,10.0,25.75,61.17,2022-12-05T09:02:42.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",JAVISST PÅGEN,7311070032161,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6968e07d4c403222c1cc21477f9179ff"
DKK,17.25,5712580641997,2022-12-07T22:59:59.000Z,2022-12-05T09:04:27.000Z,16.0,33.25,51.88,2022-12-05T09:04:03.000Z,10.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Hele brød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Whole Breads'}",GRØDBRØD PÅGEN,7311070014211,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/bb622dbe-bca4-427e-81c4-f07ce4e0ffd0"
DKK,14.0,5712580639628,2022-12-06T22:59:59.000Z,2022-12-05T10:38:11.000Z,15.0,29.0,48.28,2022-12-03T10:12:30.000Z,2.0,each,"{'da': 'Mejeri & køl>Tapas & specialiteter>Specialpålæg', 'en': 'Dairy And Cold Storage>Tapas Specialities>Cold Cuts Specialities'}",KEULENSKINKE SALLING,5712872014751,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/2cd92bcf-2f9d-4ab3-aa6a-0c15d4557fa7"
DKK,5.95,5712580642376,2022-12-07T22:59:59.000Z,2022-12-05T10:46:53.000Z,17.0,22.95,25.93,2022-12-05T10:46:28.000Z,3.0,each,"{'da': 'Mejeri & køl>Færdigretter>Sandwiches & wraps', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Sandwiches Wraps'}",WRAP KYLLING SALLING NU,5712875128370,
DKK,7.0,5712580642437,2022-12-06T22:59:59.000Z,2022-12-05T10:58:07.000Z,15.0,22.0,31.82,2022-12-05T10:57:52.000Z,1.0,each,"{'da': 'Mejeri & køl>Mejeri & køl>Mejeri>Mejeri>Yoghurt & syrnede mælkeprodukter>Yoghurt & syrnede mælkeprodukter>Yoghurt>Skyr', 'en': 'Dairy And Cold Storage>Dairy And Cold Storage>Dairy>Dairy>Yoghurt Soured Milk Products>Yoghurt Soured Milk Products>Yoghurt>Skyr'}",SKYR HINDBÆR LUNDBERG,5713300030886,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7335555f-2509-4823-9ed9-909d9ddd3c10"
DKK,8.95,5712580642451,2022-12-09T22:59:59.000Z,2022-12-05T10:59:58.000Z,15.0,23.95,37.37,2022-12-05T10:59:35.000Z,2.0,each,"{'da': 'Mejeri & køl>Tapas & specialiteter>Oliven & andet tilbehør', 'en': 'Dairy And Cold Storage>Tapas Specialities>Olives Other Attachments'}",PEPPADEW HON/SE VORES TAPAS,5902973788181,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/eeea17d3-e8c3-434f-8d3a-430d6caa35c8"
DKK,14.95,5712580642529,2022-12-09T22:59:59.000Z,2022-12-05T11:25:48.000Z,20.0,34.95,42.78,2022-12-05T11:25:29.000Z,6.0,each,"{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}",BACON POSTEJ STRYHNS,5704000498991,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/5c215a05-a2c6-4600-9974-875dbe7dcddd"
DKK,7.95,5712580642499,2022-12-09T22:59:59.000Z,2022-12-05T14:23:27.000Z,10.0,17.95,44.29,2022-12-05T11:20:35.000Z,17.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",ROASTBEEF SALLING,5712874583835,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/478deef9-663b-4799-8960-e7168e0d3742"
DKK,5.95,5712580642567,2022-12-12T22:59:59.000Z,2022-12-05T11:31:43.000Z,20.0,25.95,22.93,2022-12-05T11:31:23.000Z,1.0,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Bacon>Bacon i skiver', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Bacon>Sliced Bacon'}",BACON TULIP,5707196242485,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8139536b-fd7f-4ea6-80b3-7761717c0644"
DKK,14.95,5712580638324,2022-12-06T22:59:59.000Z,2022-12-05T11:53:19.000Z,25.0,39.95,37.42,2022-12-02T13:00:09.000Z,2.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GRØNLANGKÅL STEFF H.,5701293655506,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/768dad96-6ae5-4f2d-bcd8-7aedab16b93d"
DKK,11.95,5712580639765,2022-12-08T22:59:59.000Z,2022-12-05T11:53:19.000Z,8.0,19.95,59.9,2022-12-03T10:59:31.000Z,2.0,each,"{'da': 'Mejeri & køl>Pålæg>Pålægssalater>Andre salater', 'en': 'Dairy And Cold Storage>Lunch Meats>Mayo Salads>Other Mayo Salads'}",SOMMERSALAT K-SALAT,5704068010760,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0c7960d7304af8a6ed512bc9ca540cac"
DKK,7.95,5712580639871,2022-12-07T22:59:59.000Z,2022-12-05T11:53:19.000Z,11.0,18.95,41.95,2022-12-03T12:05:01.000Z,3.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",KYLLINGBRYST SALLING,5712874575960,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/5c943387-353f-4c54-9550-8a3bb8eb1532"
DKK,25.5,5712580640044,2022-12-10T22:59:59.000Z,2022-12-05T12:08:13.000Z,40.0,65.5,38.93,2022-12-03T12:34:25.000Z,1.0,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}",LE PETIT BRIE PRÉSIDENT,5710405310165,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a783221f-8165-41e2-a56c-0c07bda445bc"
DKK,12.95,5712580642178,2022-12-06T22:59:59.000Z,2022-12-05T12:23:15.000Z,30.0,42.95,30.15,2022-12-05T09:51:54.000Z,1.0,each,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",FLÆSK I SKIVER SLAGTEREN,5707196305098,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ffcecc2ddd4000d5e70c2637ba3c0566"
DKK,9.75,5712580642598,2022-12-08T22:59:59.000Z,2022-12-05T12:53:13.000Z,14.0,23.75,41.05,2022-12-05T11:34:55.000Z,5.0,each,"{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>A38, tykmælk & ymer', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Soured Milk'}","LETMÆLK 1,5% ARLA A38",5700426219097,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/13efdcb2-63f2-4153-ba0e-25cc5a0a0a6d"
DKK,29.95,5712580628073,2022-12-06T22:59:59.000Z,2022-12-05T13:23:21.000Z,40.0,69.95,42.82,2022-11-27T13:55:48.000Z,8.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Hele pålægspølser', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Lunch Sausages'}",OKSESPEGEPØLSE LAMPE,5703603108993,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/2b38e910-dbd9-4d48-8318-740a47b79be2"
DKK,13.95,5712580639949,2022-12-08T22:59:59.000Z,2022-12-05T13:53:25.000Z,25.0,38.95,35.82,2022-12-03T12:15:38.000Z,4.0,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Grisepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Pork Sausages'}",GRILLPØLSE/OST STEFF H.,5707196155464,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6470d58d-ae2e-41c4-bc62-102174fdb308"
DKK,3.0,5712580642628,2022-12-12T22:59:59.000Z,2022-12-05T13:53:25.000Z,7.0,10.0,30.0,2022-12-05T11:39:11.000Z,8.0,each,,SOYA VANILJE ALPRO,5712580639666,
DKK,8.95,5712580640808,2022-12-11T22:59:59.000Z,2022-12-05T13:53:25.000Z,7.0,15.95,56.11,2022-12-04T09:16:20.000Z,2.0,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Smøreost', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Cream Cheese'}",FLØDEOST DILD S. PRINCIP,5712875295768,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/bf4398d825e3dc724e983b5b0125c69a"
DKK,29.0,5712580640532,2022-12-06T22:59:59.000Z,2022-12-05T14:23:27.000Z,40.0,69.0,42.03,2022-12-04T08:04:03.000Z,1.0,each,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",FLÆSK I SKIVER ANTONIUS,5707196305319,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c32a4270ce1098249edfa92b6f1ad50a"
DKK,10.95,5712580641904,2022-12-06T22:59:59.000Z,2022-12-05T14:23:27.000Z,10.0,20.95,52.27,2022-12-05T08:59:33.000Z,5.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",SOLSIKKESTYKKER SALLING,5712875381850,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a61771c27e959e768e2aaebc3a1f7a52"
DKK,8.95,5712580642994,2022-12-15T22:59:59.000Z,2022-12-05T14:36:02.000Z,12.0,20.95,42.72,2022-12-05T14:35:23.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Pålægssalater>Fiske- & skaldyrssalat', 'en': 'Dairy And Cold Storage>Lunch Meats>Mayo Salads>Fish Mayo Salads'}",TUNSALAT 30% K-SALAT,5704068013778,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cf838d29-3ef5-4912-ba55-25d25b5c5be7"
DKK,7.95,5712580643007,2022-12-09T22:59:59.000Z,2022-12-05T14:36:02.000Z,15.0,22.95,34.64,2022-12-05T14:35:31.000Z,2.0,each,"{'da': 'Mejeri & køl>Tapas & specialiteter>Pesto & hummus', 'en': 'Dairy And Cold Storage>Tapas Specialities>Pesto Hummus'}",MUHAMMARA SALLING,5712873745937,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/53053fcf-a1ad-471b-8c4c-0384daf6f18a"
DKK,8.95,5712580642956,2022-12-09T22:59:59.000Z,2022-12-05T14:36:02.000Z,15.0,23.95,37.37,2022-12-05T14:34:45.000Z,1.0,each,"{'da': 'Mejeri & køl>Tapas & specialiteter>Oliven & andet tilbehør', 'en': 'Dairy And Cold Storage>Tapas Specialities>Olives Other Attachments'}",PEPPADEW M OST SALLING,5902973788372,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0ae75ae5-aba1-48d6-9137-edee97054fca"
DKK,11.0,5712580643045,2022-12-06T22:59:59.000Z,2022-12-05T14:48:48.000Z,16.0,27.0,40.74,2022-12-05T14:48:32.000Z,2.0,each,"{'da': 'Brød & kager>Mad- & specialbrød>Burgerboller', 'en': 'Bread And Cakes>Bread Specialities>Burger Buns'}",BURGERBOLLE 4ST KOHBERG,5701246001046,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/990f954e-7316-4be5-94c8-2fa86efcb461"
