currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,29.56,2006567,2022-12-18T22:59:59.000Z,2022-12-17T14:05:18.000Z,50.34,79.9,37.0,2022-12-17T09:53:51.000Z,6.321,kg,{},RIBBENSSTEG,250065,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/faa7b4b7-469a-4f80-8515-34c3da87ca2b"
DKK,20.96,2006444,2022-12-19T22:59:59.000Z,2022-12-17T15:20:19.000Z,38.94,59.9,35.0,2022-12-16T10:26:40.000Z,4.649,kg,{},RIBBENSSTEG,250118,
DKK,29.0,2006529,2022-12-18T22:59:59.000Z,2022-12-17T11:05:04.000Z,40.0,69.0,42.03,2022-12-17T09:34:57.000Z,6.333,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",SLAGTERMESTEREN RIBBENSTEG,250500,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3214b7eb-3e35-4e1d-9367-a06df22ee774"
DKK,43.5,2006543,2022-12-18T22:59:59.000Z,2022-12-17T10:35:11.000Z,43.5,87.0,50.0,2022-12-17T09:46:38.000Z,4.649,kg,{},FLÆSK I SKV.,250693,
DKK,49.95,2006536,2022-12-18T22:59:59.000Z,2022-12-17T11:05:04.000Z,49.95,99.9,50.0,2022-12-17T09:46:28.000Z,4.649,kg,{},KOTELETTER,250741,
DKK,19.0,2006314,2022-12-17T22:59:59.000Z,2022-12-17T15:35:14.000Z,70.0,89.0,21.35,2022-12-16T07:09:30.000Z,4.599,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",MØRBRAD M KAR. GODT BEGYNDT,251072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a3bbe846-caa0-41ac-87e8-ed94f0e6e670"
DKK,37.95,2006574,2022-12-18T22:59:59.000Z,2022-12-17T14:20:09.000Z,37.95,75.9,50.0,2022-12-17T09:54:36.000Z,4.649,kg,,KAM M/SPÆK,252379,
DKK,20.0,2006338,2022-12-17T22:59:59.000Z,2022-12-17T15:05:20.000Z,55.0,75.0,26.67,2022-12-16T07:09:47.000Z,4.649,kg,{},NAKKEKOTELET GODT BEGYNDT,254701,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0926afe1-92c9-4388-996f-18e6890c4095"
DKK,63.92,2006420,2022-12-17T22:59:59.000Z,2022-12-17T15:50:18.000Z,15.98,79.9,80.0,2022-12-16T07:28:34.000Z,4.649,kg,,OVNKLAR KAM,259637,
DKK,29.97,2006550,2022-12-20T22:59:59.000Z,2022-12-17T09:49:31.000Z,89.93,119.9,25.0,2022-12-17T09:49:11.000Z,5.41,each,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",RIBBENSSTEG,281368,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/38f0dc95-047f-4cfd-85b2-b928425c85ff"
