currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,5.95,5712580122687,2022-12-13T22:59:59.000Z,2022-12-11T09:58:15.000Z,18,23.95,24.84,2022-12-11T09:57:48.000Z,2.0,each,CULTURA HAVRE/JORD,4016241031242,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/855003a3-67c6-4d24-817e-d1cf9454a67d","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Yoghurt', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Yoghurt'}"
DKK,18.95,5712580122694,2022-12-14T22:59:59.000Z,2022-12-11T09:58:38.000Z,9,27.95,67.8,2022-12-11T09:58:25.000Z,1.0,each,KOKOS SKYR YOG. CHEASY,5711953065934,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ecb9c3ac87cd74f96f721ddabef29900","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Yoghurt', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Yoghurt'}"
DKK,8.95,5712580122717,2022-12-15T22:59:59.000Z,2022-12-11T09:59:38.000Z,9,17.95,49.86,2022-12-11T09:59:20.000Z,2.0,each,CULTURA KEFIR BLÅBÆR,5711953159060,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a91273ef-d38b-40ff-b479-deb7f0b684c7","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Kefir', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Kephir'}"
DKK,14.25,5712580122724,2022-12-15T22:59:59.000Z,2022-12-11T10:00:25.000Z,20,34.25,41.61,2022-12-11T10:00:01.000Z,3.0,each,450ML SHOT,5705010081944,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/2d736906-104e-4a98-9559-88115d486586","{'da': 'Drikkevarer>Juice & smoothies>Frugt- & grøntsagsshots', 'en': 'Beverages>Juice Smoothies>Fruit Shots Vegetable Shots'}"
DKK,9.95,5712580122731,2022-12-22T22:59:59.000Z,2022-12-11T10:01:26.000Z,20,29.95,33.22,2022-12-11T10:01:05.000Z,6.0,each,CITRON/VANILJE ARLA/PROTINO,8718166035737,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/982be69b-1499-412d-9f1b-2251d10d5218","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Drikke- & børneyoghurt', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Drinking Yoghurt Kids Yoghurt'}"
DKK,5.75,5712580122748,2022-12-15T22:59:59.000Z,2022-12-11T10:02:25.000Z,20,25.75,22.33,2022-12-11T10:02:10.000Z,5.0,each,ØKO FRAICHE 9% KAROLINES,5711953107023,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ce9d2dc8-0133-4b0a-9cb8-662fb1b104d7","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Creme fraiche & kvark', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Creme Fraiche Quark'}"
DKK,5.95,5712580122755,2022-12-13T22:59:59.000Z,2022-12-11T10:04:26.000Z,10,15.95,37.3,2022-12-11T10:03:58.000Z,8.0,each,APPELSINJUICE 330 ML,5038862138833,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3c3a6e9f-ea95-49a2-a944-95321d1af7dc","{'da': 'Drikkevarer>Juice & smoothies>Appelsinjuice', 'en': 'Beverages>Juice Smoothies>Orange Juices'}"
DKK,10.5,5712580122786,2022-12-16T22:59:59.000Z,2022-12-11T10:46:31.000Z,16,26.5,39.62,2022-12-11T10:07:13.000Z,14.0,each,MAXI KING 3-PAK KINDER,5710405313487,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/838f9ad4-a6ec-414b-a93b-c94c45131036","{'da': 'Mejeri & køl>Mejeri>Dessert & snacks', 'en': 'Dairy And Cold Storage>Dairy>Desserts Snacks'}"
DKK,4.5,5712580122809,2022-12-12T22:59:59.000Z,2022-12-11T10:11:19.000Z,16,20.5,21.95,2022-12-11T10:11:00.000Z,6.0,each,SOJA M. JORDBÆR ALPRO,5411188128458,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/1090d92b-0883-488b-8d1b-76506352d696","{'da': 'Mejeri & køl>Mejeri>Plantebaserede alternativer>Yoghurtalternativer', 'en': 'Dairy And Cold Storage>Dairy>Plant Based Alternatives>Plant Based Yoghurt Alternatives'}"
DKK,13.95,5712580119069,2022-12-12T22:59:59.000Z,2022-12-11T10:31:33.000Z,12,25.95,53.76,2022-12-09T08:52:54.000Z,1855.0,each,SMØRBAR BAKKEDAL,5701043001072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cbe5b788-a7a0-48e0-bcd4-72982112a8b1","{'da': 'Mejeri & køl>Mejeri>Smør & fedtstof>Smørbart', 'en': 'Dairy And Cold Storage>Dairy>Butter Fats>Other Butters'}"
DKK,29.0,5712580120836,2022-12-11T22:59:59.000Z,2022-12-11T10:46:31.000Z,40,69.0,42.03,2022-12-10T08:59:02.000Z,6.0,each,GRÆSK GYROS SLAGTEREN,5707196297515,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7222eed2-ace5-4e8d-83e2-3bc30538e1a6","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,23.25,5712580121888,2022-12-12T22:59:59.000Z,2022-12-11T10:46:31.000Z,10,33.25,69.92,2022-12-11T06:02:07.000Z,1.0,each,GRØDBRØD PÅGEN,7311070014211,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/bb622dbe-bca4-427e-81c4-f07ce4e0ffd0","{'da': 'Brød & kager>Lyst & groft brød>Hele brød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Whole Breads'}"
DKK,20.95,5712580121826,2022-12-12T22:59:59.000Z,2022-12-11T11:16:33.000Z,6,26.95,77.74,2022-12-11T05:58:43.000Z,2.0,each,SOLSIKKERUGBRØD DET GODE,5701205008314,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/14dd4f45-2b0d-4dbe-b47c-4222c7cfedb3","{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}"
DKK,14.95,5712580122939,2022-12-12T22:59:59.000Z,2022-12-11T11:39:27.000Z,25,39.95,37.42,2022-12-11T11:39:13.000Z,1.0,each,HK GRIS 4-7% SLAGTERMEST.,5707196276251,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f9d79d52-e06a-4278-8a1a-9dea203f2212","{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}"
