currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,11.95,5712580289311,2022-12-31T22:59:59.000Z,2022-12-12T10:56:29.000Z,4,15.95,74.92,2022-12-09T04:00:56.000Z,12,each,CAPPUCI ISKAFFE,5710326016788,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/63b81844-685e-45b6-95b6-ada3ec1e34d9","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
DKK,29.0,5712580293509,2022-12-13T22:59:59.000Z,2022-12-12T10:57:12.000Z,40,69.0,42.03,2022-12-12T10:56:48.000Z,6,each,HK. GRIS 8-12% ANTONIUS,5707196305210,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4de2d2827ccfb34f054e58889343fae2","{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}"
DKK,29.0,5712580293516,2022-12-13T22:59:59.000Z,2022-12-12T10:58:00.000Z,40,69.0,42.03,2022-12-12T10:57:35.000Z,4,each,HK. GRIS/KALV 8 ANTONIUS,5707196305234,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/fbbc2292a1db997163c81a6a8c01fbce","{'da': 'Kød & fisk>Grisekød>Hakket grise- & kalvekød', 'en': 'Meat Fish>Pork>Minced Pork Veal'}"
DKK,29.0,5712580293523,2022-12-13T22:59:59.000Z,2022-12-12T10:58:30.000Z,40,69.0,42.03,2022-12-12T10:58:06.000Z,8,each,JULEMEDISTER ANTONIUS,5707196305173,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c411b911c00faf6b28f3e097bf7081ce","{'da': 'Kød & fisk>Grisekød>Medister', 'en': 'Meat Fish>Pork>Thick Sausages'}"
DKK,29.0,5712580293530,2022-12-13T22:59:59.000Z,2022-12-12T10:59:12.000Z,40,69.0,42.03,2022-12-12T10:58:52.000Z,9,each,SKINKEKØD I TER ANTONIUS,5707196305258,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d69154fb2b979be7697b3ebf6294de07","{'da': 'Kød & fisk>Grisekød>Grisekød i tern & strimler', 'en': 'Meat Fish>Pork>Chopped Pork'}"
DKK,39.0,5712580293547,2022-12-13T22:59:59.000Z,2022-12-12T11:00:09.000Z,30,69.0,56.52,2022-12-12T10:59:53.000Z,11,each,SKINKESCHNITZLE ANTONIUS,5707196305333,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f4554c37f9e53e5732a5898a1be26828","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,29.0,5712580293554,2022-12-13T22:59:59.000Z,2022-12-12T11:01:04.000Z,40,69.0,42.03,2022-12-12T11:00:47.000Z,5,each,KOTELETTER 450G ANTONIUS,5707196305272,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9752b337a48eb2645191ccccba986203","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,6.95,5712580291031,2022-12-15T22:59:59.000Z,2022-12-12T11:11:27.000Z,19,25.95,26.78,2022-12-10T07:27:36.000Z,790,each,SMØRBAR BAKKEDAL,5701043001072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cbe5b788-a7a0-48e0-bcd4-72982112a8b1","{'da': 'Mejeri & køl>Mejeri>Smør & fedtstof>Smørbart', 'en': 'Dairy And Cold Storage>Dairy>Butter Fats>Other Butters'}"
DKK,16.0,5712580291055,2022-12-31T22:59:59.000Z,2022-12-12T11:26:47.000Z,30,46.0,34.78,2022-12-10T07:32:16.000Z,20,each,SLICED BACON TULIP,5707196272581,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/01d2311f-9be0-4dcc-9022-ce6fafb321b8","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Bacon>Bacon i skiver', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Bacon>Sliced Bacon'}"
DKK,19.95,5712580293332,2022-12-13T22:59:59.000Z,2022-12-12T11:26:47.000Z,20,39.95,49.94,2022-12-12T10:32:42.000Z,3,each,GRIS/KALV 4-7% SLAGTEREN,5707196276213,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3e09546b-907b-4fe0-8855-1b28aaee828f","{'da': 'Kød & fisk>Grisekød>Hakket grise- & kalvekød', 'en': 'Meat Fish>Pork>Minced Pork Veal'}"
DKK,16.0,5712580291048,2022-12-31T22:59:59.000Z,2022-12-12T11:26:47.000Z,30,46.0,34.78,2022-12-10T07:31:59.000Z,32,each,BACON I TERN TULIP,5707196283310,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d79553d0-2d88-435b-afdf-e1ae804a45a3","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Bacon>Bacon i tern', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Bacon>Chopped Bacon Bits'}"
DKK,40.0,5712580293462,2022-12-13T22:59:59.000Z,2022-12-12T11:26:47.000Z,35,75.0,53.33,2022-12-12T10:53:37.000Z,19,each,HK GRIS/KALV SLAGTEREN,5710238000783,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/32cc7d51-28b3-432f-8440-4f89284091cf","{'da': 'Kød & fisk>Grisekød>Hakket grise- & kalvekød', 'en': 'Meat Fish>Pork>Minced Pork Veal'}"
DKK,12.0,5712580292786,2022-12-13T22:59:59.000Z,2022-12-12T11:26:47.000Z,8,20.0,60.0,2022-12-12T05:15:58.000Z,4,each,PLANTEPRO. BRØD SALLING,5712875297007,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/72e9ef5b08e876e98d06add413378ea3","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
