currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,24.95,2005805,2022-12-18T22:59:59.000Z,2022-12-17T16:03:25.000Z,20.0,44.95,55.51,2022-12-17T15:11:46.000Z,518.592,kg,"{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}",GRIS 3-7% HAKKEKØD,250509,
DKK,20.95,2005812,2022-12-18T22:59:59.000Z,2022-12-17T16:03:25.000Z,25.0,45.95,45.59,2022-12-17T15:12:03.000Z,519.68,kg,"{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}",GRIS 9-15% HAKKEKØD,250513,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/96513caf-4cc4-493a-bdb8-eef4af758b4f"
DKK,24.0,2005843,2022-12-19T22:59:59.000Z,2022-12-18T07:06:20.000Z,45.0,69.0,34.78,2022-12-18T07:06:02.000Z,519.48,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",KYLLING I KARRY,254564,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b60d61b7-9d17-4c2d-bcac-54771f5a2f66"
DKK,25.0,2005874,2022-12-19T22:59:59.000Z,2022-12-18T08:40:18.000Z,50.0,75.0,33.33,2022-12-18T08:39:55.000Z,520.756,kg,{},GB KARRY KOTELET,254699,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a6c1b4ae-f5b6-492b-aca9-6a07c0f9f010"
DKK,20.0,2005836,2022-12-19T22:59:59.000Z,2022-12-18T07:05:54.000Z,55.0,75.0,26.67,2022-12-18T07:05:37.000Z,522.128,kg,{},NAKKEKOTELET GODT BEGYNDT,254701,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0926afe1-92c9-4388-996f-18e6890c4095"
DKK,19.0,2005881,2022-12-19T22:59:59.000Z,2022-12-18T08:40:29.000Z,50.0,69.0,27.54,2022-12-18T08:40:12.000Z,519.6,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",KOTELET FAD,257192,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/938708b580c981e2ee8bbe874843f212"
DKK,8.5,5712580387154,2022-12-20T22:59:59.000Z,2022-12-18T08:23:55.000Z,12.0,20.5,41.46,2022-12-14T08:12:34.000Z,6.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",ROASTBEEF BUDGET,29218134,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6a54183be4dc6ba9db27e5d54478f7ab"
DKK,3.5,5712580390161,2022-12-18T22:59:59.000Z,2022-12-17T12:03:17.000Z,10.0,13.5,25.93,2022-12-16T05:25:32.000Z,6.0,each,"{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}",SOLSIKKERUGBR. DET GODE,5701205001582,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9858b501-789c-4f4e-9889-281daf32df73"
DKK,27.95,5712580389059,2022-12-26T22:59:59.000Z,2022-12-17T10:03:13.000Z,5.0,32.95,84.83,2022-12-15T12:36:43.000Z,6.0,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}",ØKO BLÅ CASTELLO,5740200001074,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ce61b6cf-ae4b-44a3-8b1f-37ee2699768a"
DKK,6.75,5712580390062,2022-12-18T22:59:59.000Z,2022-12-17T10:33:15.000Z,19.0,25.75,26.21,2022-12-16T05:14:02.000Z,1.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",SOL OVER GUDHJE SIGNATURBØD,5701205009489,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0fc017fb-77d4-447a-bbcc-2f4b11598c97"
DKK,4.95,5712580387178,2022-12-20T22:59:59.000Z,2022-12-17T10:33:15.000Z,15.0,19.95,24.81,2022-12-14T08:13:59.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}",BACONPOSTEJ D.G. SLAGTER,5710405309701,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/47759498-ed54-49dd-bd79-cf068c6fb91e"
DKK,13.95,5712580386874,2022-12-20T22:59:59.000Z,2022-12-17T10:48:14.000Z,25.0,38.95,35.82,2022-12-14T06:26:24.000Z,1.0,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Grisepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Pork Sausages'}",FRANKFURTER STEFF H.,5707196143966,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/dcaa9378-6a4f-426e-bf3e-3d2631edec35"
DKK,5.0,5712580388724,2022-12-31T22:59:59.000Z,2022-12-18T08:53:53.000Z,15.0,20.0,25.0,2022-12-15T07:14:23.000Z,14.0,each,"{'da': 'Mejeri & køl>Pålæg>Pålægssalater>Hønse- & kyllingesalat', 'en': 'Dairy And Cold Storage>Lunch Meats>Mayo Salads>Poultry Mayo Salads'}",KYL-BACON SALAT K-SALAT,5704000484406,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ade66cd9-24c7-4b07-83ab-54171640d60c"
