currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,31.96,2009698,2022-12-13T22:59:59.000Z,2022-12-12T10:58:29.000Z,47.94,79.9,40.0,2022-12-12T08:58:06.000Z,520.786,kg,{},RIBBENSSTEG,250065,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/faa7b4b7-469a-4f80-8515-34c3da87ca2b"
DKK,39.0,2009490,2022-12-13T22:59:59.000Z,2022-12-12T08:38:41.000Z,70.0,109.0,35.78,2022-12-12T08:37:45.000Z,519.472,kg,{},GODT BEGYNDT,250280,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4aeb8d50-5a70-4afe-a295-6eb951634fcd"
DKK,29.0,2009445,2022-12-12T22:59:59.000Z,2022-12-11T13:03:26.000Z,40.0,69.0,42.03,2022-12-11T10:05:44.000Z,518.592,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",SLAGTERMESTEREN RIBBENSTEG,250500,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3214b7eb-3e35-4e1d-9367-a06df22ee774"
DKK,19.95,2009483,2022-12-12T22:59:59.000Z,2022-12-11T17:48:37.000Z,25.0,44.95,44.38,2022-12-11T14:44:07.000Z,518.592,kg,"{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}",GRIS 3-7% HAKKEKØD,250509,
DKK,20.95,2009476,2022-12-12T22:59:59.000Z,2022-12-11T16:48:30.000Z,25.0,45.95,45.59,2022-12-11T14:43:46.000Z,518.592,kg,"{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}",GRIS 9-15% HAKKEKØD,250513,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/96513caf-4cc4-493a-bdb8-eef4af758b4f"
DKK,29.0,2009414,2022-12-12T22:59:59.000Z,2022-12-11T16:03:30.000Z,40.0,69.0,42.03,2022-12-11T10:04:54.000Z,518.592,kg,{},FLADE RIBBEN AF GRIS,250811,
DKK,39.0,2009506,2022-12-13T22:59:59.000Z,2022-12-12T10:43:27.000Z,70.0,109.0,35.78,2022-12-12T08:38:05.000Z,518.592,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",BØF BEARNAISE GODT BEGYNDT,251071,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ae0e81e2-6d18-40cf-b575-5a733012620f"
DKK,29.0,2009407,2022-12-12T22:59:59.000Z,2022-12-11T13:33:27.000Z,40.0,69.0,42.03,2022-12-11T10:04:37.000Z,518.592,kg,{},NAKKEKOTELETTER SLAGTEREN,251744,
DKK,39.0,2009704,2022-12-13T22:59:59.000Z,2022-12-12T09:01:15.000Z,30.0,69.0,56.52,2022-12-12T09:00:49.000Z,519.242,kg,{},KOTELETTER SLAGTEREN,251745,
DKK,29.0,2009438,2022-12-12T22:59:59.000Z,2022-12-11T13:33:27.000Z,40.0,69.0,42.03,2022-12-11T10:05:27.000Z,518.592,kg,{},SPARERIBS SLAGTEREN,251747,
DKK,29.0,2009421,2022-12-12T22:59:59.000Z,2022-12-11T11:33:24.000Z,40.0,69.0,42.03,2022-12-11T10:05:12.000Z,518.592,kg,{},FLÆSK I SKIVER SLAGTEREN,251749,
DKK,29.67,2009674,2022-12-14T22:59:59.000Z,2022-12-12T08:57:40.000Z,60.23,89.9,33.0,2022-12-12T08:57:26.000Z,524.884,kg,,OVNKLAR KAM 1000 G,255550,
DKK,71.94,2009711,2022-12-13T22:59:59.000Z,2022-12-12T09:43:27.000Z,47.96,119.9,60.0,2022-12-12T09:27:21.000Z,518.592,each,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",RIBBENSSTEG,281368,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/38f0dc95-047f-4cfd-85b2-b928425c85ff"
DKK,10.75,5712580384344,2022-12-14T22:59:59.000Z,2022-12-12T07:59:55.000Z,5.0,15.75,68.25,2022-12-12T07:59:40.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Pålægssalater>Andre salater', 'en': 'Dairy And Cold Storage>Lunch Meats>Mayo Salads>Other Mayo Salads'}",PICKLESSALAT K-SALAT,5704068010487,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e14ecad4ff8c45f5c8ba4b5f44a9b473"
DKK,3.5,5712580382326,2022-12-14T22:59:59.000Z,2022-12-11T12:48:23.000Z,9.0,12.5,28.0,2022-12-09T13:15:34.000Z,2.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",KYLLINGEBRYST BUDGET,4005097670293,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/567ad280-f47c-4650-9930-e5cfc949a724"
DKK,20.95,5712580383538,2023-01-25T22:59:59.000Z,2022-12-12T10:13:24.000Z,5.0,25.95,80.73,2022-12-12T04:18:24.000Z,1.0,each,"{'da': 'Mejeri & køl>Mejeri>Smør & fedtstof>Smørbart', 'en': 'Dairy And Cold Storage>Dairy>Butter Fats>Other Butters'}",SMØRBAR BAKKEDAL,5701043001072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cbe5b788-a7a0-48e0-bcd4-72982112a8b1"
DKK,9.5,5712580379272,2022-12-13T22:59:59.000Z,2022-12-11T13:18:23.000Z,9.0,18.5,51.35,2022-12-07T14:04:46.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",HAMBURGERRYG PÅLÆKKER,5707196154573,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/fc02090e-2d41-45a7-884b-7bb300b9af9a"
DKK,29.0,5712580383323,2022-12-12T22:59:59.000Z,2022-12-11T13:48:26.000Z,40.0,69.0,42.03,2022-12-11T10:07:38.000Z,1.0,each,"{'da': 'Kød & fisk>Grisekød>Grisekød i tern & strimler', 'en': 'Meat Fish>Pork>Chopped Pork'}",FAVORITGRYDE DANISH CROWN,5707196302288,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/649de9650ef1a43f1a1f74dbdf06dd15"
DKK,39.0,5712580384542,2022-12-13T22:59:59.000Z,2022-12-12T09:03:56.000Z,30.0,69.0,56.52,2022-12-12T09:03:23.000Z,2.0,each,"{'da': 'Kød & fisk>Grisekød>Grisekød i tern & strimler', 'en': 'Meat Fish>Pork>Chopped Pork'}",KEBAB STRIMLER SLAGTEREN,5707196302363,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a0f22d111d6b04940978f1caefc239de"
DKK,40.0,5712580384559,2022-12-13T22:59:59.000Z,2022-12-12T09:04:29.000Z,29.0,69.0,57.97,2022-12-12T09:04:07.000Z,2.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GRÆSK GYROS SLAGTEREN,5707196297515,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7222eed2-ace5-4e8d-83e2-3bc30538e1a6"
DKK,3.95,5712580384320,2022-12-14T22:59:59.000Z,2022-12-12T07:59:27.000Z,10.0,13.95,28.32,2022-12-12T07:59:11.000Z,1.0,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Andet topping', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Other Toppings'}",KYLL. TERN SALLING,5712874624149,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/abe3b768-b178-4921-a40b-e95bce02b4b4"
DKK,4.95,5712580382357,2022-12-18T22:59:59.000Z,2022-12-11T15:18:35.000Z,18.0,22.95,21.57,2022-12-09T13:17:10.000Z,1.0,each,"{'da': 'Mejeri & køl>Færdigretter>Sandwiches & wraps', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Sandwiches Wraps'}",SALLING NU,5712874355760,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/877494e4-f8a2-4226-bc54-66c853e0464f"
DKK,10.95,5712580379470,2023-01-23T22:59:59.000Z,2022-12-11T17:48:37.000Z,20.0,30.95,35.38,2022-12-07T14:43:40.000Z,3.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",JULEKÅL SØNDERJYDSK,5701405403148,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/362fef6a-510a-40a3-84f0-6be59f8418f5"
DKK,29.0,5712580383347,2022-12-12T22:59:59.000Z,2022-12-11T18:18:40.000Z,40.0,69.0,42.03,2022-12-11T10:08:41.000Z,2.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",CORDON BLEU SLAGTEREN,5707735939685,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74a07351aaa284c2b0907330bc431c73"
DKK,19.95,5712580384283,2022-12-13T22:59:59.000Z,2022-12-12T11:43:35.000Z,10.0,29.95,66.61,2022-12-12T07:34:48.000Z,1.0,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Ost i skiver', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Sliced Cheese'}",GOUDA PESTO SALLING,5712875168970,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d5937b81460d0b04420ede7007606669"
DKK,13.25,5712580383651,2022-12-13T22:59:59.000Z,2022-12-12T06:09:52.000Z,12.0,25.25,52.48,2022-12-12T06:09:34.000Z,7.0,each,"{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}",DGR. SOLSIKKE DET GODE,5701205001568,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d70a98f5-599f-4599-94b2-0a6f4cbffbad"
DKK,4.5,5712580383668,2022-12-13T22:59:59.000Z,2022-12-12T06:11:10.000Z,6.0,10.5,42.86,2022-12-12T06:10:49.000Z,3.0,each,"{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}",SOLSIKKE RUGBR. SALLING,5712871082706,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cd16a796-88c1-4854-8501-834cb3e07067"
DKK,6.95,5712580383675,2022-12-12T22:59:59.000Z,2022-12-12T06:13:40.000Z,12.0,18.95,36.68,2022-12-12T06:13:13.000Z,8.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",KERNERUGBRØ SALLING ØKO,5712872401612,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3c1e8560-bed6-43fd-b3c0-1c8021d72cf5"
DKK,14.25,5712580383682,2022-12-13T22:59:59.000Z,2022-12-12T06:15:44.000Z,15.0,29.25,48.72,2022-12-12T06:15:22.000Z,6.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Hele brød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Whole Breads'}",SOLSIKKEBRØD SCHULSTAD,5701205009748,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/96888776bda7e35fa93d331a716c86c7"
DKK,11.75,5712580383729,2022-12-13T22:59:59.000Z,2022-12-12T06:22:02.000Z,14.0,25.75,45.63,2022-12-12T06:21:36.000Z,3.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",SOL OVER GUDHJE SIGNATURBØD,5701205009489,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0fc017fb-77d4-447a-bbcc-2f4b11598c97"
DKK,10.95,5712580383743,2022-12-13T22:59:59.000Z,2022-12-12T06:24:34.000Z,11.0,21.95,49.89,2022-12-12T06:24:12.000Z,1.0,each,"{'da': 'Brød & kager>Rugbrød>Gulerodsrugbrød', 'en': 'Bread And Cakes>Rye Breads>Rye Breads With Carrots'}",GULERODSRUGBRØD KOHBERG,5701246032996,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/411a3e70-800a-41bb-8be7-1c68adf2f375"
DKK,7.95,5712580383750,2022-12-12T22:59:59.000Z,2022-12-12T06:25:01.000Z,14.0,21.95,36.22,2022-12-12T06:24:38.000Z,3.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",RUGBR.SANDWICH KOHBERG,5701246032958,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7f68c4c9-b115-41ca-9039-23c0809b2c33"
DKK,2.95,5712580383767,2022-12-14T22:59:59.000Z,2022-12-12T06:25:29.000Z,11.0,13.95,21.15,2022-12-12T06:25:07.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}",SURDEJS RUG KLA SALLING ØKO,5712874935702,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/93670aea-8e15-40c2-a5fd-c8d940d9e5d7"
DKK,4.95,5712580383774,2022-12-13T22:59:59.000Z,2022-12-12T06:25:43.000Z,15.0,19.95,24.81,2022-12-12T06:25:25.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}",SURDEJSBOLLER SALLING ØKO,5712874935283,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/57390d9a-3f2a-4f84-b296-97f87b7933be"
DKK,7.95,5712580383781,2022-12-13T22:59:59.000Z,2022-12-12T06:26:37.000Z,17.0,24.95,31.86,2022-12-12T06:26:13.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}",GROV SANDWICH SCHULSTAD,5701205003623,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/486ac731-fc2c-4ad7-977b-d277430112a3"
DKK,15.25,5712580383798,2022-12-14T22:59:59.000Z,2022-12-12T06:27:44.000Z,12.0,27.25,55.96,2022-12-12T06:27:24.000Z,2.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",SKYRBOLLE LEVEBRØD,5701205007195,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/2e0d50ac-7bbb-4b1d-9134-0e7513abe981"
DKK,11.95,5712580383804,2022-12-12T22:59:59.000Z,2022-12-12T06:28:36.000Z,12.0,23.95,49.9,2022-12-12T06:28:11.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",CHIA BOLLER LEVEBRØD,5701205008031,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/2788bb76-d147-4e1b-8f5c-749762ab81ea"
DKK,9.25,5712580383811,2022-12-14T22:59:59.000Z,2022-12-12T06:29:31.000Z,16.0,25.25,36.63,2022-12-12T06:29:14.000Z,2.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",DET GODE SOLSIKKEBO.,5701205008444,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74743266-bc00-40c7-a2a6-bc876486cc9f"
DKK,7.25,5712580383828,2022-12-14T22:59:59.000Z,2022-12-12T06:30:53.000Z,18.0,25.25,28.71,2022-12-12T06:30:34.000Z,2.0,each,"{'da': 'Brød & kager>Rugbrød>Gulerodsrugbrød', 'en': 'Bread And Cakes>Rye Breads>Rye Breads With Carrots'}",GULERODSBRØD LEVEBRØD,5701205007072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4bc305cc-9318-4c2e-8a4b-310c86421b7c"
DKK,14.5,5712580384221,2022-12-14T22:59:59.000Z,2022-12-12T07:24:03.000Z,11.0,25.5,56.86,2022-12-12T07:23:38.000Z,6.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",PROTEIN BRØD KOHBERG,5726866108500,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ec6a45e8-cae0-40c3-af14-63ec6a4bb793"
DKK,5.0,5712580383866,2022-12-12T22:59:59.000Z,2022-12-12T06:43:16.000Z,15.0,20.0,25.0,2022-12-12T06:42:57.000Z,14.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",PLANTEPRO. BRØD SALLING,5712875297007,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/72e9ef5b08e876e98d06add413378ea3"
DKK,5.95,5712580383873,2022-12-12T22:59:59.000Z,2022-12-12T06:45:13.000Z,19.0,24.95,23.85,2022-12-12T06:44:53.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",RUGMILD BOLLER KOHBERG,5701246106758,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/1bf1cbe2-246d-44f7-8158-50bd2a4d87c7"
DKK,8.5,5712580383880,2022-12-12T22:59:59.000Z,2022-12-12T06:46:05.000Z,17.0,25.5,33.33,2022-12-12T06:45:40.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",PROTEINBOLLER KOHBERG,5701246011014,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/bbc33f9c-4ee0-4037-b117-8e68b91e7b37"
DKK,3.75,5712580383897,2022-12-14T22:59:59.000Z,2022-12-12T06:47:34.000Z,5.0,8.75,42.86,2022-12-12T06:47:07.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}",HVEDE SANDWICH SALLING,5712872135197,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c5727463-c372-43c5-8d92-629588346d87"
DKK,3.0,5712580384207,2022-12-13T22:59:59.000Z,2022-12-12T07:21:49.000Z,4.0,7.0,42.86,2022-12-12T07:21:29.000Z,1.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",FULDKORNSRUGB. SALLING,5701246266155,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f2f301e55de0a2961c82167cd4e118e9"
DKK,7.25,5712580383965,2022-12-13T22:59:59.000Z,2022-12-12T06:53:44.000Z,18.0,25.25,28.71,2022-12-12T06:53:18.000Z,1.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",SKOVMAND I SK. SCHULSTAD,5701205005498,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/49ffa106-d8ec-4477-a115-f1133ae66095"
DKK,6.75,5712580383972,2022-12-13T22:59:59.000Z,2022-12-12T06:54:37.000Z,12.0,18.75,36.0,2022-12-12T06:54:15.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",GULERODSBOLLER SALLING,5712872136057,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/97dff87b-6404-4b04-a138-003dea4f3e08"
DKK,4.25,5712580383989,2022-12-12T22:59:59.000Z,2022-12-12T06:55:16.000Z,5.0,9.25,45.95,2022-12-12T06:54:53.000Z,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}",FULDKORNSSAND. SALLING,5712872135173,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/72fa8e05-c603-433f-b0d8-e5a2b339861e"
DKK,10.95,5712580384252,2022-12-14T22:59:59.000Z,2022-12-12T07:31:35.000Z,11.0,21.95,49.89,2022-12-12T07:31:12.000Z,2.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",GYLDENMASK BOLL KOHBERG,5701246032934,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9952b0f3-20c0-4f06-a6b9-0f72da99f25e"
