currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,2.75,5712580595535,2022-12-24T22:59:59.000Z,2022-12-19T08:58:58.000Z,7.0,9.75,28.21,2022-12-19T04:43:58.000Z,1.0,each,ØKO LETMÆLK NATURMÆLK,5701852250081,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b5ee9cd4-1e2e-473e-a2f6-5e7e3bf96d60","{'da': 'Mejeri & køl>Mejeri>Mælk>Letmælk', 'en': 'Dairy And Cold Storage>Dairy>Milk>Skimmed Milk'}"
DKK,2.25,5712580595351,2022-12-20T22:59:59.000Z,2022-12-19T08:58:58.000Z,7.0,9.25,24.32,2022-12-18T15:38:33.000Z,4.0,each,SOLSIKKERUGBRØD SALLING,5712875161971,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f775ddae-aa0c-4198-94ff-8a223e6cd393","{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}"
DKK,9.95,5712580594101,2022-12-25T22:59:59.000Z,2022-12-19T08:58:58.000Z,25.0,34.95,28.47,2022-12-18T04:50:18.000Z,5.0,each,MULTISHOT LUNDBERG,5713300011670,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/98f30bb9-63db-439e-9ceb-5d444d906be2","{'da': 'Drikkevarer>Juice & smoothies>Frugt- & grøntsagsshots', 'en': 'Beverages>Juice Smoothies>Fruit Shots Vegetable Shots'}"
DKK,4.95,5712580593968,2022-12-23T22:59:59.000Z,2022-12-19T10:13:56.000Z,15.0,19.95,24.81,2022-12-17T19:53:01.000Z,2.0,each,PÅLÆGSMIX OMTANKE,5701483191456,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ebe27f5d-f39c-4b86-9c09-cce9fa028453","{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}"
DKK,12.75,5712580561301,2022-12-31T22:59:59.000Z,2022-12-19T10:13:56.000Z,25.0,37.75,33.77,2022-12-16T03:49:05.000Z,34.0,each,FRANSK BRIE PRÉSIDENT,5709281011013,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/93313035-0417-43e3-9ae7-f41ee31f5a41","{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}"
DKK,10.95,5712580595474,2022-12-31T22:59:59.000Z,2022-12-19T10:13:56.000Z,10.0,20.95,52.27,2022-12-19T04:39:39.000Z,16.0,each,TURKIS CHEESEMAKERS,5900857011745,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e2fb58ed9c503f5eaae26cc9b08e67e2","{'da': 'Mejeri & køl>Mejeri>Ost>Ost i skiver', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Sliced Cheese'}"
DKK,0.95,5712580561318,2022-12-31T22:59:59.000Z,2022-12-19T10:29:00.000Z,25.0,25.95,3.66,2022-12-16T03:49:16.000Z,3.0,each,SAINT MORGON PRÉSIDENT,3038910004471,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/1d0c7d85-3cd7-45a5-9563-e39650617314","{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}"
DKK,5.95,5712580594736,2022-12-26T22:59:59.000Z,2022-12-19T10:43:56.000Z,20.0,25.95,22.93,2022-12-18T09:50:19.000Z,5.0,each,BACON TULIP,5707196242485,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8139536b-fd7f-4ea6-80b3-7761717c0644","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Bacon>Bacon i skiver', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Bacon>Sliced Bacon'}"
DKK,24.95,5712580593388,2022-12-21T22:59:59.000Z,2022-12-19T10:43:56.000Z,25.0,49.95,49.95,2022-12-17T12:48:44.000Z,4.0,each,OKSEPØLSER GØL,5707196295016,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/62de9a95-6fa9-450a-bfde-4df11930e4d2","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Oksepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Beef Sausages'}"
DKK,8.95,5712580594484,2023-01-01T22:59:59.000Z,2022-12-19T10:59:00.000Z,25.0,33.95,26.36,2022-12-18T09:37:38.000Z,15.0,each,GULDLEVERPØLSE LAMPE,5703603006312,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0e7f6b1f-43ed-4bbd-8831-0a254c52039f","{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Hele pålægspølser', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Lunch Sausages'}"
DKK,12.95,5712580593760,2022-12-22T22:59:59.000Z,2022-12-19T10:59:00.000Z,11.0,23.95,54.07,2022-12-17T18:30:47.000Z,3.0,each,ØKO FRA.POSTEJ TULIP,5707196299625,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/db0b86e1db64e4e2ef5c6204a52d0d0a","{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}"
