currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,10.95,5712580561325,2022-12-31T22:59:59.000Z,2022-12-17T09:33:11.000Z,25,35.95,30.46,2022-12-16T03:49:29.000Z,36,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}",CAMEMBERT PRESIDENT,3228023920090,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3e4955ab766eea74627edbb3a4cf62fe"
DKK,3.75,5712580593289,2022-12-24T22:59:59.000Z,2022-12-17T12:28:38.000Z,11,14.75,25.42,2022-12-17T12:28:16.000Z,1,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",RULLEPØLSE BUDGET,5900244030595,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/14d8459d-9b81-4616-915b-0e1d755f2830"
DKK,10.95,5712580593296,2022-12-21T22:59:59.000Z,2022-12-17T12:33:30.000Z,8,18.95,57.78,2022-12-17T12:33:10.000Z,2,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",KYLLINGBRYST SALLING,5712874575960,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/5c943387-353f-4c54-9550-8a3bb8eb1532"
DKK,5.95,5712580593319,2022-12-21T22:59:59.000Z,2022-12-17T12:36:09.000Z,14,19.95,29.82,2022-12-17T12:35:49.000Z,6,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",SILKESK SKINKE D.G. SLAGTER,5707196285512,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/55e64252-aa83-45d0-9e42-71571364bf52"
DKK,11.95,5712580593340,2022-12-21T22:59:59.000Z,2022-12-17T12:39:33.000Z,20,31.95,37.4,2022-12-17T12:39:07.000Z,3,each,"{'da': 'Mejeri & køl>Færdigretter>Alternativer til kød', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Ready To Eat Meat Alternatives'}",VEGOSCHNITZEL HÄLSANS KÖK,7340024185516,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/05e5bf71-a4a8-44cc-b564-31bd21230a0b"
DKK,15.0,5712580593371,2022-12-21T22:59:59.000Z,2022-12-17T12:46:17.000Z,20,35.0,42.86,2022-12-17T12:45:54.000Z,2,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Grisepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Pork Sausages'}",HOTDOGPØLSER SALLING ØKO,5712875092527,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/12aaa0dc-85b3-447d-afa1-3e0b748bf232"
DKK,6.5,5712580561387,2022-12-18T22:59:59.000Z,2022-12-17T13:18:17.000Z,11,17.5,37.14,2022-12-16T04:53:43.000Z,2,each,"{'da': 'Mejeri & køl>Mejeri>Mælk>Skummetmælk', 'en': 'Dairy And Cold Storage>Dairy>Milk>Nonfat Milk'}",ØKO SKUMMETMÆLK NATURMÆLK,5701852261537,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ca07b003-7e8a-4248-8aa3-38bba493f9cb"
DKK,8.95,5712580593418,2022-12-22T22:59:59.000Z,2022-12-17T13:23:14.000Z,15,23.95,37.37,2022-12-17T13:22:49.000Z,1,each,"{'da': 'Mejeri & køl>Tapas & specialiteter>Pesto & hummus', 'en': 'Dairy And Cold Storage>Tapas Specialities>Pesto Hummus'}",HUMMUS PERSILLE SALLING,5712875174834,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/aaf8cf832f33bf30e284fd5d780ed2c7"
DKK,9.95,5712580593470,2022-12-23T22:59:59.000Z,2022-12-17T13:33:11.000Z,20,29.95,33.22,2022-12-17T13:32:51.000Z,1,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",CHILI CON CARNE 400 G,5712874243814,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/89e24cf6-2d5c-451f-9ee0-4cf41f84b009"
DKK,12.75,5712580561301,2022-12-31T22:59:59.000Z,2022-12-17T13:33:22.000Z,25,37.75,33.77,2022-12-16T03:49:05.000Z,38,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}",FRANSK BRIE PRÉSIDENT,5709281011013,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/93313035-0417-43e3-9ae7-f41ee31f5a41"
